1025	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	5	At the beginning of the first sentence there seem to be some combined phrases resulting in a non grammatical phrase.
Non-Redundancy	5	5	4	
Referential Clarity	5	5	4	
Focus	5	5	3	
Structure	5	4	4	
Coherence	5	4	4	
Readability	4	4	3	Readability suffers on the beginning of the first sentence.
Information Content	5	5	4	
Spelling	5	4	4	
Length	5	5	4	
Overall Quality	5	5	4	
