1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	4	5	4	space before "," (1); sends (2) in caps 	
Non-Redundancy	5	4	4		
Referential Clarity	5	5	4		
Focus	3	3	3	sentence 1+4 about bulliening and 2+3 about skipping school, sentence 4 should be after of before 1	
Structure	3	4	3	strange start of sentence (1)	
Coherence	4	3	4		
Readability	4	4	4	physical : (1)	
Information Content	4	4	5		
Spelling	5	4	3		
Length	4	4	3		
Overall Quality	4	4	5		
