1015	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	5	5	5	
"Structure"	2	5	5	"letzter Satz sollte am Anfang stehen; auch ansonsten kann die Reihenfolge der Sätze  optimiert werden"
"Coherence"	3	5	5	
"Readability"	3	5	5	
"Information Content"	4	5	5	
"Spelling"	5	1	5	
"Length"	4	2	2	
"Overall Quality"	3	5	5	"die Nuggets waren ganz gut, aber für ein besseres Verständnis sollte die Reihenfolge verbessert werden"
