1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	5	broken quotations
Non-Redundancy	3	4	4	
Referential Clarity	4	3	4	
Focus	4	3	4	
Structure	2	4	4	
Coherence	3	3	3	
Readability	1	5	5	
Information Content	5	4	3	
Spelling	5	3	5	
Length	2	4	4	
Overall Quality	3	4	5	
