1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	Punctuation and beginning with short letter of one sentence
Non-Redundancy	4	5	5	
Referential Clarity	4	5	5	
Focus	4	4	4	
Structure	3	4	4	
Coherence	3	4	3	
Readability	3	4	5	Punctuation and beginning with short letter of one sentence
Information Content	4	3	4	
Spelling	3	4	4	Punctuation and beginning with short letter of one sentence
Length	4	4	5	Only 3 Sentences and one very long
Overall Quality	3	5	4	
