1040	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	3	3	
Non-Redundancy	4	4	3	
Referential Clarity	4	3	3	
Focus	4	4	4	
Structure	4	3	4	
Coherence	4	3	4	
Readability	5	4	4	
Information Content	3	4	3	
Spelling	4	2	3	
Length	3	3	3	
Overall Quality	4	4	4	
