1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	5	"broken punctuation, use of ""|"" instead"
Non-Redundancy	5	2	5	
Referential Clarity	5	2	5	
Focus	1	5	5	topic missed
Structure	2	4	4	
Coherence	1	4	4	
Readability	3	3	4	
Information Content	2	3	5	
Spelling	2	4	5	broken capitalization
Length	2	4	5	
Overall Quality	1	5	5	
