1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	The 4th sentence is ungrammatical (it seems that this line contains multiple sentences which are not separated suitably with punctuation)
Non-Redundancy	5	5	5	
Referential Clarity	5	5	5	
Focus	5	5	3	
Structure	5	4	4	
Coherence	4	4	4	No good relationship between the sentences
Readability	5	4	5	
Information Content	4	5	4	From the beginning of the 4th sentence there cannot any information gained
Spelling	5	4	5	
Length	4	5	4	There is some place wasted due the ”(e)” fragment in the 2nd sentence for no special reason
Overall Quality	4	5	3	
