1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	3	first sentence weird
Non-Redundancy	2	5	5	"3 x ""Federal"" at beginning of sentence"
Referential Clarity	5	2	4	
Focus	3	2	3	
Structure	2	5	4	last sentence would be better as first sentence
Coherence	2	4	4	
Readability	2	3	3	
Information Content	4	2	3	
Spelling	5	1	5	
Length	2	4	5	
Overall Quality	3	2	3	
