1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	First sentence seems to be two sentences or punctuation is missing
Non-Redundancy	4	5	5	
Referential Clarity	4	5	5	
Focus	3	4	4	Bullying in school from officials, without further explanation to topic
Structure	3	4	4	First sentence seems to be two sentences or punctuation is missing
Coherence	3	4	3	First sentence seems to be two sentences or punctuation is missing
Readability	4	4	5	First sentence seems to be two sentences or punctuation is missing
Information Content	3	3	4	First two sentences counter each other
Spelling	3	4	4	
Length	5	4	5	
Overall Quality	3	5	4	
