1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	2	5	5	First and third sentence share the same meaning
Referential Clarity	5	5	5	
Focus	5	4	4	
Structure	4	4	4	
Coherence	5	4	3	
Readability	4	4	5	
Information Content	4	3	4	
Spelling	5	4	4	
Length	3	4	5	Very short, maybe some more sentences
Overall Quality	4	5	4	
