1007	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	3	2	3		
Non-Redundancy	4	3	4		
Referential Clarity	4	3	2		
Focus	4	4	3		
Structure	5	4	3		
Coherence	4	4	3		
Readability	4	4	4		
Information Content	5	4	4		
Spelling	4	1	4		
Length	3	1	1		
Overall Quality	4	5	3		
