1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	First sentence lack information through missing end
Non-Redundancy	5	5	5	
Referential Clarity	4	5	5	
Focus	5	4	4	
Structure	2	4	4	First sentence lack information through missing end
Coherence	2	4	3	First sentence lack information through missing end
Readability	2	4	5	First sentence lack information through missing end
Information Content	3	3	4	
Spelling	3	4	4	
Length	4	4	5	
Overall Quality	3	5	4	
