1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	5	5	1st sentence is trimmed (ungrammatically) The 3rd sentence starts with a (open) parentheses but never closed.
Non-Redundancy	5	4	5	
Referential Clarity	5	3	5	
Focus	4	4	3	
Structure	4	3	5	
Coherence	3	3	5	No good relationship between the sentences
Readability	4	5	3	I wonder, whether the last sentence is readable
Information Content	3	5	4	
Spelling	5	4	5	
Length	2	4	5	Only about 300 characters long and could contain much more information with more characters
Overall Quality	3	5	4	
