1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	2	5	5	Sentences 1 and 3 are highly redundant what roughly makes about the half of the summary
Referential Clarity	5	5	5	
Focus	4	5	3	
Structure	3	4	4	
Coherence	4	4	4	
Readability	5	4	5	
Information Content	3	5	4	Due to the redundancy
Spelling	5	4	5	
Length	4	5	5	Only about 500 characters
Overall Quality	3	5	3	
