1008	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	3	5	
Non-Redundancy	3	2	4	"""teach your"""
Referential Clarity	4	2	4	
Focus	3	2	3	
Structure	2	5	5	one single bullet point
Coherence	2	4	3	
Readability	4	3	3	
Information Content	3	3	4	contained a reference
Spelling	5	2	5	
Length	2	5	5	second sentence way too long
Overall Quality	2	3	4	
