1050	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	4	5	5	"Z,4: Welche “parents”?"
"Focus"	2	5	5	"Der erste Satz passt nicht direkt zum Thema"
"Structure"	3	5	5	"Der erste Satz passt nicht als Einleitung"
"Coherence"	3	5	5	"Z.5 passt nicht richtig in den Kontext, davon sind auch die benachbarten Sätze betroffen"
"Readability"	3	5	5	
"Information Content"	4	5	5	"Nur Z.4 bringt keinen Mehrwert"
"Spelling"	5	1	5	
"Length"	3	2	2	
"Overall Quality"	2	5	5	"Eigentlich passt nur Z.6 richtig gut und die anderen Sätze haben alle ein Problem, sei es sie passen nicht in den Kontext, ihnen fehlt der Bezug zum Thema oder sie vermitteln keine Informationen"
