1026	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	5	2	5	
Focus	1	2	4	
Structure	1	1	1	
Coherence	1	4	3	
Readability	1	3	4	
Information Content	4	5	4	
Spelling	5	1	4	
Length	3	1	5	538
Overall Quality	3		4	
