1049	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	2	4	 
Non-Redundancy	4	3	3	
Referential Clarity	3	4	4	contextless quote
Focus	3	4	4	random bit about AHDH
Structure	3	3	2	
Coherence	3	4	3	 
Readability	2	4	4	sentences to long
Information Content	2	4	3	
Spelling	4	2	4	
Length	2	4	4	
Overall Quality	2	3	3	
