1035	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	Punctuation
Non-Redundancy	5	5	5	
Referential Clarity	5	5	5	
Focus	4	4	4	
Structure	3	4	4	
Coherence	3	4	3	
Readability	3	4	5	One very long sentence
Information Content	4	3	4	
Spelling	4	4	4	Punctuation
Length	3	4	5	Very short and only 3 sentences
Overall Quality	4	5	4	
