1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	3	3	3		
Non-Redundancy	5	2	5		
Referential Clarity	5	1	5		
Focus	1	5	5		
Structure	2	3	3		
Coherence	1	2	2		
Readability	4	2	4		
Information Content	2	4	4		
Spelling	4	2	4		
Length	3	1	4		
Overall Quality	2	5	4		
