1025	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	1	5	
Non-Redundancy	1	5	5	multiple definitions of cyber bullying
Referential Clarity	5	3	4	
Focus	2	4	5	too focused on definition instead of the signs of cyber-bullying
Structure	2	4	5	
Coherence	2	3	3	
Readability	2	4	4	"""(v.) ::"""
Information Content	4	2	3	
Spelling	5	2	5	
Length	3	2	4	
Overall Quality	1	4	5	
