1024	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	4	2	4	
Referential Clarity	3	3	4	
Focus	2	3	4	Line 4 is way off the topic.
Structure	3	4	4	Partial quote
Coherence	4	2	4	
Readability	3	2	4	
Information Content	2	5	4	
Spelling	4	2	4	
Length	1	5	2	
Overall Quality	2	5	4	
