1028	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	4	2	
Non-Redundancy	4	1	2	
Referential Clarity	1	3	3	
Focus	1	3	3	
Structure	1	4	4	
Coherence	1	4	3	
Readability	1	5	3	
Information Content	2	3	3	
Spelling	5	1	4	
Length	4	2	3	
Overall Quality	1		3	
