1042	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	1	5	
Referential Clarity	5	3	5	
Focus	5	2	5	
Structure	5	1	5	
Coherence	5	1	5	
Readability	5	1	5	
Information Content	3	3	5	
Spelling	5	1	5	
Length	1	5	5	
Overall Quality	2	5	5	it is only one sentence and there are colse to 400 chars left
