1019	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	4	
Referential Clarity	4	5	4	No specific explanation what BSL is
Focus	4	5	2	I wonder, whether the topic “studying techniques and methods” is really covered
Structure	3	5	4	
Coherence	3	5	4	
Readability	4	4	4	
Information Content	2	5	4	No gain of information in the sentences 2, 4 and 6
Spelling	5	4	5	
Length	5	5	4	
Overall Quality	3	5	3	
