1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	4	They are the copies of the sentences from the original corpus
Non-Redundancy	5	4	4	
Referential Clarity	2	4	4	There are unknown abrevations
Focus	3	4	3	
Structure	2	4	4	
Coherence	2	4	4	There are sentences which don't have direct relation to the text
Readability	3	5	4	
Information Content	2	4	4	
Spelling	5	3	4	As they are copies from the main text
Length	4	4	3	
Overall Quality	2	4	4	It has lack of coherence
