1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	4	4	
Non-Redundancy	3	1	2	
Referential Clarity	2	3	2	
Focus	1	4	4	
Structure	1	3	4	
Coherence	1	3	3	
Readability	1	4	4	
Information Content	2	4	5	
Spelling	3	3	3	
Length	1	3	2	
Overall Quality	1	5	5	
