1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	1	3	4	
Focus	3	4	4	
Structure	2	3	4	
Coherence	1	3	4	
Readability	2	3	4	
Information Content	1	5	4	
Spelling	3	2	4	
Length	5	2	5	
Overall Quality	1	5	3	
