1035	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	3	3	4	"Missing quotation marks after ""I liked school"""
Non-Redundancy	3	3	4	
Referential Clarity	3	4	4	
Focus	2	5	4	
Structure	2	3	3	
Coherence	3	2	3	
Readability	4	3	4	
Information Content	1	4	4	
Spelling	4	3	3	
Length	3	4	4	
Overall Quality	3	3	3	
