1030	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	5	5	incomplete sentences
Non-Redundancy	5	1	5	
Referential Clarity	3	2	4	"""I"""
Focus	3	1	3	
Structure	1	3	4	
Coherence	1	4	4	
Readability	1	5	5	
Information Content	3	3	3	
Spelling	1	5	5	"broken capitalization, ""can not"" instead ""cannot"""
Length	4	1	4	
Overall Quality	1	5	5	
