1046	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)	
Grammaticality	3	4	5	line 6 is hard to understand	
Non-Redundancy	5	3	5		
Referential Clarity	2	5	5		
Focus	2	4	5		
Structure	2	4	5		
Coherence	2	4	5		
Readability	2	5	5		
Information Content	2	4	5		
Spelling	5	3	5		
Length	2	3	5		
Overall Quality	2	5	5	first 2 sentences are great, but everything else is garbage	
