1018	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	4	4	4		
Non-Redundancy	3	4	4		
Referential Clarity	3	3	4		
Focus	3	4	3		
Structure	2	5	4		
Coherence	3	4	3		
Readability	4	3	4		
Information Content	3	4	5		
Spelling	5	5	3		
Length	3	3	4		
Overall Quality	3	4	5		
