1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	5	The last sentence is not grammatical.
Non-Redundancy	5	5	4	
Referential Clarity	2	5	5	No clarity about the references in the sentences 1, 3, 4 and 7
Focus	3	5	3	
Structure	4	4	4	
Coherence	4	4	2	
Readability	5	4	4	
Information Content	2	5	5	Many sentence do not contain useful information
Spelling	4	4	5	Coding errors in the last sentence.
Length	5	5	5	
Overall Quality	2	5	3	
