1050	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	"Short ""a"" at the beginning of first sentence, bangs and punctuation in the first sentence, questions"
Non-Redundancy	4	5	5	
Referential Clarity	3	5	5	"""You"", ""Mary Anne"""
Focus	2	4	4	
Structure	2	4	4	
Coherence	1	4	3	
Readability	3	4	5	
Information Content	2	3	4	
Spelling	2	4	4	
Length	4	4	5	
Overall Quality	2	5	4	
