1006	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	Some of the sentences are no real sentences. One problem seems to be that you seperated at punctuation that don't mark sentence endings.
Non-Redundancy	2	3	3	
Referential Clarity	1	3	3	"""these students"" and ""They may also have taken other disciplinary actions."". In ""Yes, I am an official at this school."" it is also not clear who is talking."
Focus	1	4	5	
Structure	1	3	4	
Coherence	2	3	3	
Readability	1	4	5	
Information Content	1	3	3	
Spelling	2	3	3	
Length	3	3	2	
Overall Quality	1	3	3	
