1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	2	3	5	
Focus	2	3	5	
Structure	3	3	5	
Coherence	3	3	3	
Readability	5	2	5	
Information Content	4	1	2	
Spelling	4	3	5	
Length	5	4	5	
Overall Quality	2	3	5	
