1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	Questions, bullet points, dates
Non-Redundancy	5	5	5	
Referential Clarity	3	5	5	"""Your"", ""These"""
Focus	3	4	4	Texas region and questions dont adress the main topic
Structure	3	4	4	
Coherence	3	4	3	
Readability	3	4	5	
Information Content	2	3	4	
Spelling	2	4	4	Questions, bullet points, dates
Length	5	4	5	
Overall Quality	3	5	4	
