1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	4	Copy from original text
Non-Redundancy	4	4	4	
Referential Clarity	1	4	4	Pronouns which are unknown 
Focus	3	4	4	Focus unclear
Structure	2	4	4	
Coherence	1	5	4	main problem of the summary
Readability	3	4	4	
Information Content	2	4	4	
Spelling	5	3	4	Copy from original text
Length	4	3	3	
Overall Quality	1	4	4	Very poor coherence and referential clarity
