1001	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	1	2	
Non-Redundancy	5	2	3	Half of it is copyright information, but actual text is not all that redundant
Referential Clarity	3	3	3	Mostly devoid of references, except one that is slightly lost
Focus	2	4	3	Jumps all over the place, but half of it is at least sort of on topic
Structure	2	3	4	at least the copyright info is mostly in one piece
Coherence	1	4	2	
Readability	2	4	2	
Information Content	2	4	4	Way more informative if you care about copyright
Spelling	5	1	4	good except encoding errors which i didnt count
Length	2	1	1	
Overall Quality	2	5	5	 
