1046	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	1	5	5	"Z.6-9 komplett problematisch"
"Focus"	3	5	5	"Z.6-9: hier fehlt größtenteils generell der Bezug zu irgendeinem Thema"
"Structure"	5	5	5	"klare Aufteilung zwischen sachlich und wörtlicher Rede"
"Coherence"	3	5	5	
"Readability"	2	5	5	
"Information Content"	2	5	5	"die ersten beiden Sätze enthalten gute Informationen; danach gibt es keine mehr"
"Spelling"	4	1	5	"Z.7 Punkt fehlt"
"Length"	2	2	2	
"Overall Quality"	2	5	5	"Der Anfang und die Aufteilung ist gut, weswegen es noch einen Punkt drauf gibt. Ab der Mitte von Z.6 wird es dann verwirrend, also die Hälfte der Summary über"
