1015	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	4	2	4	
Referential Clarity	2	3	4	
Focus	1	5	3	
Structure	1	5	4	
Coherence	1	5	5	
Readability	2	4	5	
Information Content	1	4	2	
Spelling	4	3	3	
Length	3	1	4	
Overall Quality	2	5	3	
