1012	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	3	3	2	
Referential Clarity	2	2	2	
Focus	3	3	2	
Structure	2	3	2	
Coherence	3	3	2	
Readability	3	3	3	
Information Content	3	4	2	
Spelling	4	1	4	
Length	2	3	4	
Overall Quality	3	3	2	
