1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	3	3	3		
Non-Redundancy	4	3	4		
Referential Clarity	4	3	3		
Focus	3	4	3		
Structure	3	3	3		
Coherence	2	3	4		
Readability	3	3	4	Readability suffers from poor coherence	
Information Content	3	4	4	A lot of fluff sentences	
Spelling	4	3	4		
Length	2	3	4	Very long with many pointless sentences	
Overall Quality	3	3	4		
