1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	1	5	5	Last two sentences seems to be header and bullet point
Referential Clarity	4	5	5	
Focus	4	4	4	
Structure	3	4	4	
Coherence	3	4	3	
Readability	3	4	5	Last two sentences seems to be header and bullet point
Information Content	4	3	4	
Spelling	4	4	4	
Length	4	4	5	Only 3 long sentences
Overall Quality	3	5	4	
