1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	1	5	
Non-Redundancy	5	2	5	
Referential Clarity	1	2	5	For example, these neg. beh., further consequ.
Focus	1	2	4	help classes not mentioned
Structure	1	1	1	
Coherence	1	4	3	
Readability	2	3	4	
Information Content	1	5	4	
Spelling	3	2	4	judged-and blamed-by
Length	3	1	5	551
Overall Quality	1		4	
