1038	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	5	
Referential Clarity	3	4	5	"""I"", ""You"""
Focus	3	2	3	
Structure	3	2	3	
Coherence	1	4	4	
Readability	3	2	4	
Information Content	3	4	5	
Spelling	5	2	5	
Length	3	3	4	
Overall Quality	3	5	5	
