1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	5	5	missing punctuation
Non-Redundancy	4	2	4	
Referential Clarity	2	5	5	"""me"", ""I"", ""Barun""?"
Focus	3	2	3	
Structure	3	2	3	
Coherence	2	3	4	
Readability	3	4	3	
Information Content	3	3	2	
Spelling	1	5	5	"multiple wrong capitalization, ""you"" instead ""your"", ""in"" instead ""is"""
Length	4	2	4	
Overall Quality	2	4	4	
