1007	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	3	3	
Non-Redundancy	4	3	3	
Referential Clarity	3	3	4	"In ""My osteopath suggested hypnotherapy, recommending a therapist."" it is not clear who is talking."
Focus	4	4	3	
Structure	5	4	4	
Coherence	4	4	3	
Readability	4	3	3	
Information Content	5	4	3	
Spelling	5	3	3	
Length	5	3	3	
Overall Quality	5	3	3	
