1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	1	3	
Non-Redundancy	4	3	2	
Referential Clarity	1	4	5	lots of unidentified theys and these, + one contextless quote
Focus	4	3	3	 
Structure	2	3	2	if i squint real hard there seems to be a little bit of structure there
Coherence	3	3	2	
Readability	3	4	3	mostly good except the missing referential clarity
Information Content	3	4	3	
Spelling	5	1	5	
Length	3	1	1	
Overall Quality	3	5	4	
