1005	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	5	4	
Non-Redundancy	4	4	4	
Referential Clarity	5	4	4	
Focus	4	4	5	
Structure	3	5	5	
Coherence	2	5	5	
Readability	4	5	5	
Information Content	4	4	4	
Spelling	4	4	4	
Length	4	3	4	
Overall Quality	4	5	5	
