1010	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	3	3	4	Part of list in summary	
Non-Redundancy	3	3	1	2 sentences covering the same issue, but state opposite things	
Referential Clarity	3	3	4	1 unresolved reference	
Focus	4	4	3	good except 1 fluff sentence 	
Structure	3	3	3		
Coherence	3	3	4		
Readability	3	3	4		
Information Content	3	4	4	what is there is fine, but somewhat redundant	
Spelling	4	1	3		
Length	2	4	3		
Overall Quality	3	4	3		
