1048	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)	
Grammaticality	2	4	4	bad first sentence	
Non-Redundancy	4	2	3		
Referential Clarity	3	1	3	unresolved refenrece that sorf of explains itself	
Focus	3	3	4		
Structure	3	3	2		
Coherence	3	3	3		
Readability	3	3	4		
Information Content	3	4	4		
Spelling	2	4	3		
Length	4	2	2		
Overall Quality	3	4	4		
