1025	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	5	5	5	
"Focus"	4	5	5	"es ist nicht ganz klar, ob das Thema nur “cyberbullying” oder wegen Satz 1 doch “bullying” im Allgemeinen ist"
"Structure"	5	5	5	
"Coherence"	4	5	5	"der Übergang von Satz 1 zu Satz 2 könnte besser sein; Wird jeztzt eine Unterfacette beleuchtet?; Dafür stellt Satz 3 dann wieder den Bezug zu Satz 1 her"
"Readability"	5	5	5	
"Information Content"	5	5	5	
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	5	5	5	"trotz kleiner Kritikpunkte eine super Zusammenfassung; die Informationsdichte ist sehr gut."
