1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	4	4	Second sentence has strange signs in it
Non-Redundancy	5	5	5	
Referential Clarity	3	5	5	"""You"""
Focus	4	4	4	
Structure	3	4	4	
Coherence	4	4	3	
Readability	3	4	5	Second sentence has strange signs in it
Information Content	3	3	4	Bills are the main argument
Spelling	3	4	4	Second sentence has strange signs in it
Length	4	4	5	Only 3 Sentences
Overall Quality	3	5	4	
