1024	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	5	
Non-Redundancy	4	3	5	
Referential Clarity	2	3	4	
Focus	2	3	5	
Structure	3	3	5	
Coherence	1	5	5	says that teachers help children with bullying, next sentence says that teachers dont help?
Readability	4	3	5	
Information Content	3	3	5	
Spelling	4	3	5	
Length	4	3	5	
Overall Quality	3	3	5	
