1020	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	3	5	5	"Z.4 und 5 sind fast deckungsgleich; Z.3: Wann machen die Eltern das? Das ist im Kontext nicht verständlich"
"Referential Clarity"	4	5	5	"Z. 2, welcher “talk”?"
"Focus"	5	5	5	
"Structure"	3	5	5	"die Einleitung ist nicht geglückt"
"Coherence"	3	5	5	"gerade die letzten drei Sätze hängen eng zusammen"
"Readability"	4	5	5	
"Information Content"	2	5	5	"die ersten beiden Sätze sagen nicht viel aus und durch die Redundanz fehlt noch mehr Inhalt"
"Spelling"	5	1	5	
"Length"	4	2	2	
"Overall Quality"	2	5	5	"die letzten drei Sätze sind ok, aber sogar dort ist noch Redundanz erhalten"
