1012	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	5	5	5	
Referential Clarity	3	5	5	"Not sure who ""many"" in sentence 2 is"
Focus	4	4	4	Two good sentences with criteria and arguments
Structure	3	4	4	
Coherence	3	4	3	
Readability	4	4	5	One Sentence with bang and some regional content without more information
Information Content	3	3	4	One Sentence with bang and some regional content without more information
Spelling	5	4	4	
Length	5	4	5	
Overall Quality	4	5	4	
