1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	1	3	
Non-Redundancy	4	3	4	
Referential Clarity	3	4	4	makes a reference that gets lost, but gets sort of explained in the text
Focus	4	3	2	
Structure	3	3	3	Has a surprising amount of structure, though i would attribute that to chance
Coherence	3	3	2	
Readability	4	4	4	
Information Content	4	4	4	
Spelling	4	1	3	
Length	4	1	1	
Overall Quality	4	5	2	
