1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	"""About No Cosigner Student Loans No Cosigner Student Loans are available for students who have an established credit record with a good credit score."""
Non-Redundancy	3	3	3	
Referential Clarity	3	3	3	
Focus	2	3	4	
Structure	3	3	3	
Coherence	3	3	4	
Readability	3	4	4	
Information Content	3	3	3	
Spelling	4	2	3	
Length	3	3	4	
Overall Quality	3	3	4	
