1039	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	3	2	4	Why would you think a capitalized stopword at the end of the title would be ok?
Non-Redundancy	3	2	4	
Referential Clarity	1	2	4	What is "Early Learning for Every Child Today"?
Focus	2	4	4	Relation to subtopic?
Structure	2	4	4	
Coherence	1	4	2	
Readability	1	4	2	
Information Content	2	5	4	
Spelling	4	2	4	
Length	1	5	4	
Overall Quality	1	5	4	
