1023	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	1	4	2	
Non-Redundancy	3	4	3	
Referential Clarity	4	3	1	
Focus	1	5	5	
Structure	3	3	3	
Coherence	1	5	5	[Other], subtopic
Readability	2	4	4	
Information Content	3	5	4	
Spelling	1	3	4	All caps?!
Length	1	3	2	 The fact that you are 100 chars under the limit is not even your main problem
Overall Quality	1	5	4	
