1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	3	4	
Non-Redundancy	3	3	3	The last sentence could be removed without losing information.
Referential Clarity	4	4	4	
Focus	3	3	3	
Structure	3	4	4	
Coherence	4	3	2	
Readability	3	4	4	
Information Content	3	4	4	
Spelling	4	4	4	
Length	3	4	4	The summary should be longer with more information. It only has 484 characters.
Overall Quality	3	4	4	
