1011	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	5	5	
Non-Redundancy	2	5	5	"2 x ""parents choose"""
Referential Clarity	5	3	4	
Focus	3	1	2	
Structure	3	2	5	good beginning
Coherence	4	4	4	
Readability	4	2	3	
Information Content	3	5	5	one absolutely useless sentence, but also good ones
Spelling	5	1	5	
Length	3	2	4	
Overall Quality	3	2	3	
